1	48000000	52000000	hild1
2	86000000	100500000	hild2
2	134500000	138000000	hild3
2	183000000	190000000	hild4
3	47500000	50000000	hild5
3	83500000	87000000	hild6
3	89000000	97500000	hild7
5	44500000	50500000	hild8
5	98000000	100500000	hild9
5	129000000	132000000	hild10
5	135500000	138500000	hild11
6	25000000	35000000	hild12
6	57000000	64000000	hild13
6	140000000	142500000	hild14
7	55000000	66000000	hild15
8	7000000	13000000	hild16
8	43000000	50000000	hild17
8	112000000	115000000	hild18
10	37000000	43000000	hild19
11	46000000	57000000	hild20
11	87500000	90500000	hild21
12	33000000	40000000	hild22
12	109500000	112000000	hild23
20	32000000	34500000	hild24
